WAREHOUSE ID,ESG SKU,MATTEL SKU,DC SKU
MATTEL_DC_PH_RP,#N/A,DLT52,3BBI-DLT51-DLT52
MATTEL_DC_PH_RP,#N/A,DLT53,3BBI-DLT51-DLT53
MATTEL_DC_PH_RP,#N/A,DLT54,3BBI-DLT51-DLT54
MATTEL_DC_PH_RP,19968-AA-NA,DGX62,3BBI-T7584-DGX62
MATTEL_DC_PH_RP,19954-AA-NA,DGX63,3BBI-T7584-DGX63
MATTEL_DC_PH_RP,19956-AA-NA,DGX64,3BBI-T7584-DGX64
MATTEL_DC_PH_RP,#N/A,DTJ68,3ACI-DXR91-DTJ68
MATTEL_DC_PH_RP,#N/A,DTJ69,3ACI-DXR91-DTJ69
MATTEL_DC_PH_RP,#N/A,DXR92,3ACI-DXR91-DXR92
MATTEL_DC_PH_RP,#N/A,DXR93,3ACI-DXR91-DXR93
MATTEL_DC_PH_RP,#N/A,DXR94,3ACI-DXR91-DXR94
MATTEL_DC_PH_RP,#N/A,DMD95,3BBI-DMD97-DMD95
MATTEL_DC_PH_RP,#N/A,DMD96,3BBI-DMD97-DMD96
MATTEL_DC_PH_RP,20390-AA-NA,CFF43,3BBI-CFF42-CFF43
MATTEL_DC_PH_RP,20449-AA-NA,CFF44,3BBI-CFF42-CFF44
MATTEL_DC_PH_RP,20381-AA-NA,CFF45,3BBI-CFF42-CFF45
MATTEL_DC_PH_RP,19932-AA-NA,DHM42,3BBI-DHM41-DHM42
MATTEL_DC_PH_RP,19922-AA-NA,DHM43,3BBI-DHM41-DHM43
MATTEL_DC_PH_RP,19944-AA-NA,DHL82,3BBI-DHL81-DHL82
MATTEL_DC_PH_RP,19946-AA-NA,DHL84,3BBI-DHL81-DHL84
MATTEL_DC_PH_RP,19947-AA-NA,DJY08,3BBI-DHL81-DJY08
MATTEL_DC_PH_RP,19964-AA-NA,DPP74,3BBI-DHL81-DPP74
MATTEL_DC_PH_RP,19953-AA-NA,DPP75,3BBI-DHL81-DPP75
MATTEL_DC_PH_RP,#N/A,W2966,3BBI-W2965-W2966
MATTEL_DC_PH_RP,#N/A,W2967,3BBI-W2965-W2967
MATTEL_DC_PH_RP,19923-AA-NA,DHF10,3BBI-DHF09-DHF10
MATTEL_DC_PH_RP,19921-AA-NA,DHF11,3BBI-DHF09-DHF11
MATTEL_DC_PH_RP,#N/A,DLT28,3BBI-DLT27-DLT28
MATTEL_DC_PH_RP,#N/A,DLT29,3BBI-DLT27-DLT29
MATTEL_DC_PH_RP,19994-AA-NA,DKB59,3BBI-DKB56-DKB59
MATTEL_DC_PH_RP,19995-AA-NA,DKB60,3BBI-DKB56-DKB60
MATTEL_DC_PH_RP,19997-AA-NA,DKB61,3BBI-DKB56-DKB61
MATTEL_DC_PH_RP,19928-AA-NA,DHM46,3BBI-DHM45-DHM46
MATTEL_DC_PH_RP,19926-AA-NA,DHM47,3BBI-DHM45-DHM47
MATTEL_DC_PH_RP,19924-AA-NA,DHM48,3BBI-DHM45-DHM48
MATTEL_DC_PH_RP,20001-AA-NA,DHM52,3BBI-DHM49-DHM52
MATTEL_DC_PH_RP,20002-AA-NA,DHM53,3BBI-DHM49-DHM53
MATTEL_DC_PH_RP,20007-AA-NA,DHM54,3BBI-DHM49-DHM54
MATTEL_DC_PH_RP,20009-AA-NA,DHM55,3BBI-DHM50-DHM55
MATTEL_DC_PH_RP,20005-AA-NA,DHM56,3BBI-DHM50-DHM56
MATTEL_DC_PH_RP,#N/A,DHM59,3BBI-DHM57-DHM59
MATTEL_DC_PH_RP,#N/A,DHM64,3BBI-DHM57-DHM64
MATTEL_DC_PH_RP,#N/A,DHM65,3BBI-DHM57-DHM65
MATTEL_DC_PH_RP,19950-AA-NA,DGY74,3BBI-DGY73-DGY74
MATTEL_DC_PH_RP,19945-AA-NA,DGY76,3BBI-DGY73-DGY76
MATTEL_DC_PH_RP,#N/A,DMB27,3BBI-DMB29-DMB27
MATTEL_DC_PH_RP,#N/A,DMB28,3BBI-DMB29-DMB28
MATTEL_DC_PH_RP,#N/A,DGX44,3BBI-DGX46-DGX44
MATTEL_DC_PH_RP,#N/A,DGX45,3BBI-DGX46-DGX45
MATTEL_DC_PH_RP,20012-AA-NA,DKM21,3BBI-DKM23-DKM21
MATTEL_DC_PH_RP,19941-AA-NA,DMC35,3BBI-DNC70-DMC35
MATTEL_DC_PH_RP,19991-AA-NA,DPP63,3BBI-DPP71-DPP63
MATTEL_DC_PH_RP,20024-AA-NA,DMM96,3THI-DMM95-DMM96
MATTEL_DC_PH_RP,20027-AA-NA,DMM97,3THI-DMM95-DMM97
MATTEL_DC_PH_RP,20149-AA-NA,BCX66,3THI-BCX65-BCX66
MATTEL_DC_PH_RP,20147-AA-NA,BCX67,3THI-BCX65-BCX67
MATTEL_DC_PH_RP,20052-AA-NA,BHR93,3THI-BLN89-BHR93
MATTEL_DC_PH_RP,20051-AA-NA,CDY28,3THI-BLN89-CDY28
MATTEL_DC_PH_RP,20058-AA-NA,DGC04,3THI-BLN89-DGC04
MATTEL_DC_PH_RP,20035-AA-NA,CGW30,3THI-BGL97-CGW30
MATTEL_DC_PH_RP,20037-AA-NA,DFL91,3THI-BGL97-DFL91
MATTEL_DC_PH_RP,19725-AA-NA,DLF02,3HWI-DLF01-DLF02
MATTEL_DC_PH_RP,19723-AA-NA,DLF05,3HWI-DLF01-DLF05
MATTEL_DC_PH_RP,19724-AA-NA,DLF06,3HWI-DLF01-DLF06
MATTEL_DC_PH_RP,19708-AA-NA,FBM74,3HWI-DTV51-FBM74
MATTEL_DC_PH_RP,19715-AA-NA,FBM75,3HWI-DTV51-FBM75
MATTEL_DC_PH_RP,19709-AA-NA,FBM76,3HWI-DTV51-FBM76
MATTEL_DC_PH_RP,19707-AA-NA,FBM77,3HWI-DTV51-FBM77
MATTEL_DC_PH_RP,19711-AA-NA,FBM78,3HWI-DTV51-FBM78
MATTEL_DC_PH_RP,19713-AA-NA,FBM79,3HWI-DTV51-FBM79
MATTEL_DC_PH_RP,19736-AA-NA,BLR03,3HWI-BLR01-BLR03
MATTEL_DC_PH_RP,19717-AA-NA,CHB17,3HWI-BLR01-CHB17
MATTEL_DC_PH_RP,19720-AA-NA,CHB18,3HWI-BLR01-CHB18
MATTEL_DC_PH_RP,#N/A,DTB04,3HWI-CGW35-DTB04
MATTEL_DC_PH_RP,#N/A,DTB05,3HWI-CGW35-DTB05
MATTEL_DC_PH_RP,#N/A,DTB09,3HWI-CGW35-DTB09
MATTEL_DC_PH_RP,#N/A,DTB06,3HWI-CGW35-DTB06
MATTEL_DC_PH_RP,#N/A,DTB03,3HWI-CGW35-DTB03
MATTEL_DC_PH_RP,#N/A,DRX06,3HWI-CGW52-DRX06
MATTEL_DC_PH_RP,#N/A,DRX07,3HWI-CGW52-DRX07
MATTEL_DC_PH_RP,#N/A,CKJ66,3HWI-CGW52-CKJ66
MATTEL_DC_PH_RP,#N/A,DMP63,3HWI-CGW52-DMP63
MATTEL_DC_PH_RP,#N/A,DRX09,3HWI-CGW52-DRX09
MATTEL_DC_PH_RP,#N/A,CMP60,3HWI-CMP54-CMP60
MATTEL_DC_PH_RP,#N/A,CMP61,3HWI-CMP54-CMP61
MATTEL_DC_PH_RP,#N/A,CMP55,3HWI-CMP54-CMP55
MATTEL_DC_PH_RP,19710-AA-NA,CHL19,3HWI-BCT35-CHL19
MATTEL_DC_PH_RP,19714-AA-NA,CMB30,3HWI-BCT35-CMB30
MATTEL_DC_PH_RP,19712-AA-NA,DJN39,3HWI-BCT35-DJN39
MATTEL_DC_PH_RP,19719-AA-NA,DJN40,3HWI-BCT35-DJN40
MATTEL_DC_PH_RP,19716-AA-NA,DLG62,3HWI-BCT35-DLG62
MATTEL_DC_PH_RP,19753-AA-NA,BHN13,3HWI-BHN12-BHN13
MATTEL_DC_PH_RP,19749-AA-NA,BHN14,3HWI-BHN12-BHN14
MATTEL_DC_PH_RP,19832-AA-NA,BGJ09,3HWI-BGJ08-BGJ09
MATTEL_DC_PH_RP,19773-AA-NA,BGJ10,3HWI-BGJ08-BGJ10
MATTEL_DC_PH_RP,19751-AA-NA,CDM43,3HWI-BGJ08-CDM43
MATTEL_DC_PH_RP,19767-AA-NA,BGJ25,3HWI-BGJ24-BGJ25
MATTEL_DC_PH_RP,19771-AA-NA,BGJ26,3HWI-BGJ24-BGJ26
MATTEL_DC_PH_RP,19743-AA-NA,CFC30,3HWI-BGJ24-CFC30
MATTEL_DC_PH_RP,19738-AA-NA,DHH77,3HWI-CGN33-DHH77
MATTEL_DC_PH_RP,19739-AA-NA,DPX65,3HWI-CGN33-DPX65
MATTEL_DC_PH_RP,19814-AA-NA,DMX34,3MBI-DMX33-DMX34
MATTEL_DC_PH_RP,19819-AA-NA,DMX35,3MBI-DMX33-DMX35
MATTEL_DC_PH_RP,19791-AA-NA,DMX37,3MBI-DMX36-DMX37
MATTEL_DC_PH_RP,19828-AA-NA,DMX38,3MBI-DMX36-DMX38
MATTEL_DC_PH_RP,19825-AA-NA,DPF60,3MBI-DMX36-DPF60
MATTEL_DC_PH_RP,19800-AA-NA,DPF62,3MBI-DMX36-DPF62
MATTEL_DC_PH_RP,19830-AA-NA,DLB17,3MBI-DLB16-DLB17
MATTEL_DC_PH_RP,19798-AA-NA,DPH67,3MBI-DLB16-DPH67
MATTEL_DC_PH_RP,#N/A,CNG74,3MBI-CYR75-CNG74
MATTEL_DC_PH_RP,#N/A,CNG75,3MBI-CYR75-CNG75
MATTEL_DC_PH_RP,#N/A,CNG76,3MBI-CYR75-CNG76
MATTEL_DC_PH_RP,#N/A,DLB99,3MBI-CYR75-DLB99
MATTEL_DC_PH_RP,#N/A,DPJ86,3MBI-DPJ85-DPJ86
MATTEL_DC_PH_RP,#N/A,DPJ87,3MBI-DPJ85-DPJ87
MATTEL_DC_PH_RP,#N/A,DPF79,3MBI-DPW10-DPF79
MATTEL_DC_PH_RP,#N/A,DPW11,3MBI-DPW10-DPW11
MATTEL_DC_PH_RP,20038-AA-NA,BHR87,3THI-BHR85-BHR87
MATTEL_DC_PH_RP,20039-AA-NA,BHR88,3THI-BHR85-BHR88
MATTEL_DC_PH_RP,20042-AA-NA,BHR90,3THI-BHR85-BHR90
MATTEL_DC_PH_RP,20013-AA-NA,BHR65,3THI-BHR64-BHR65
MATTEL_DC_PH_RP,20014-AA-NA,BHR66,3THI-BHR64-BHR66
MATTEL_DC_PH_RP,#N/A,BHR73,3THI-BHR64-BHR73
MATTEL_DC_PH_RP,#N/A,BHR82,3THI-BHR64-BHR82
MATTEL_DC_PH_RP,#N/A,BHR84,3THI-BHX25-BHR84
MATTEL_DC_PH_RP,20018-AA-NA,BHR74,3THI-BHX25-BHR74
